
00:00:00.156 --> 00:00:00.644 | ...in Spanje.
00:00:00.768 --> 00:00:08.135 | Ja, is studenten stadig met de SP eens dat juist het ontbreken van sluitingstijden een uniek...
00:00:08.548 --> 00:00:10.988 | Ik ben de menig van de Groningen nachtcultuur.
00:00:11.815 --> 00:00:12.879 | Studentenstad.
00:00:13.451 --> 00:00:23.420 | Ja, zeker. En daarom lijkt het ons ook heel moeilijk om te onderzoeken. Hoe je dat dan gaat als je dat niet meer hebt. Niet vergelijkbaar met bijvoorbeeld Steden als Utrecht, Eindhoven en noemt maar op.
00:00:23.767 --> 00:00:34.007 | Heeft u voor hoog interruptie van SP? Kan studenten in de stad zich dan een onderzoek na de nacht voorstellen? waarbij je die unieke context Buiten beschouwd.
00:00:35.356 --> 00:00:36.644 | Studentenstraat.
00:00:37.184 --> 00:00:56.124 | Wat ons betreft mag je in het voorwoord best zetten van... We constateren dat Groningen een unieke acte heeft door het opbreken van sluitersstijden. Maar het lijkt ons niet goed om te gaan onderzoeken wat de impact daarvan is op de... veiligheid omdat je daarmee ook een aanschip neemt tot het niet meer hebben van die unieke Omperk sluistijden, want dan... is vervolgens tabiologisch.
00:00:56.536 --> 00:01:02.192 | Als dat impact heeft op de veiligheid, dan moeten we daar misschien maar van af. Dat is gewoon een richting die wij überhaupt niet op willen en daarom...
00:01:02.668 --> 00:01:08.020 | dat ons betreft ook het onderzoeken dus niet waard. Nu heeft de interruptie van GroenLinks en daarna zag ik ook een van VVD nog.
00:01:09.124 --> 00:01:09.484 | Klik!
00:01:10.376 --> 00:01:19.672 | Zou u zich ook kunnen voorstellen dat het ontbreken van sluitingstijden een hele positieve... ...impact heeft op de veiligheid van het Groningse nachtleven. Studentenstad.
00:01:20.404 --> 00:01:41.212 | Zeker, ik kan me nog een heel goed dagblad van het Noordartikel herinneren waar dat ook zo opgeschreven stond. Maar juist inderdaad op het moment dat je alles tegelijkertijd dichtgooit komt iedereen tegelijkertijd op straat te staan. We weten dat de meeste incidenten buiten de kroegen gebeuren. Dat lijkt ons gewoon een heel slecht idee om iedereen tegelijkertijd op straat te zetten. Nu heeft ook nog een interruptie van 5D.
00:01:41.240 --> 00:02:04.736 | Dank u wel voorzitter. U heeft het ook al eens gehad over het feit, hoe kun je nou iets onderzoeken, terwijl u niet zeker weet wat het effect is, want het is uniek, je hebt geen vergelijking. Tegenwoordig de studenten en ik denk dat honderden, zowel duizenden studenten hier in deze gemeente afstuderen om juist te onderzoeken iets wat we niet zeker weten en wat nog nooit eerder is gebeurd. Denkt u dan dat studenten het wel kunnen of zijn? 
00:02:05.212 --> 00:02:05.892 | Ik ga het even uitleggen.
